family,seed,generation,defect_type,budget,actual_after,violation,relaxation_steps_used
dbr_confirmatory_211_213,211,0,incorrect_answer,0.3,0.6326530612244898,True,relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,0,low_reasoning,0.25,0.46938775510204084,True,relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,0,low_structure,0.3,0.24489795918367346,False,relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,0,parse_failure,0.0,0.0,False,relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,0,silent_error,0.1,0.2857142857142857,True,relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,1,incorrect_answer,0.3,0.5714285714285714,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,1,low_reasoning,0.25,0.4489795918367347,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,1,low_structure,0.3,0.3469387755102041,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,1,parse_failure,0.0,0.0,False,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,1,silent_error,0.1,0.14285714285714285,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,2,incorrect_answer,0.3,0.5306122448979592,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,2,low_reasoning,0.25,0.5306122448979592,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,2,low_structure,0.3,0.32653061224489793,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,2,parse_failure,0.0,0.0,False,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,211,2,silent_error,0.1,0.2857142857142857,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,212,0,incorrect_answer,0.3,0.673469387755102,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,212,0,low_reasoning,0.25,0.4897959183673469,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,212,0,low_structure,0.3,0.3673469387755102,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,212,0,parse_failure,0.0,0.0,False,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
dbr_confirmatory_211_213,212,0,silent_error,0.1,0.2653061224489796,True,relax_low_structure|relax_low_reasoning|relax_incorrect_answer|relax_silent_error
