model_name,branch,policy_name,generation,decision_reason,count_total,count_mean,count_std,seed_count,evaluation_mode
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,0,high_quality,63,21.0,0.0,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,0,incorrect_low_weight,48,16.0,2.0,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,0,silent_error_true,36,12.0,3.605551275463989,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,0,pred_parse_failure,2,2.0,0.0,1,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,0,low_pedagogy_correct,1,1.0,0.0,1,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,1,high_quality,54,18.0,2.0,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,1,incorrect_low_weight,47,15.666666666666666,1.5275252316519468,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,1,silent_error_true,39,13.0,1.0,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,1,low_pedagogy_correct,5,1.6666666666666667,1.1547005383792517,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,1,pred_parse_failure,5,2.5,0.7071067811865476,2,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,2,high_quality,61,20.333333333333332,2.081665999466133,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,2,incorrect_low_weight,52,17.333333333333332,4.163331998932266,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,2,silent_error_true,35,11.666666666666666,2.5166114784235836,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,2,low_pedagogy_correct,1,1.0,0.0,1,inference_recycling_only
qwen2.5:0.5b,soft_pvf_medium,soft_pvf_medium,2,medium_quality,1,1.0,0.0,1,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,0,correct_high_pedagogy,56,18.666666666666668,2.5166114784235836,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,0,incorrect_low_weight,35,11.666666666666666,2.081665999466133,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,0,silent_error_true,33,11.0,1.0,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,0,incorrect_but_high_pedagogy,24,8.0,1.7320508075688772,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,0,pred_parse_failure,2,1.0,0.0,2,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,1,correct_high_pedagogy,56,18.666666666666668,1.1547005383792515,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,1,silent_error_true,41,13.666666666666666,1.5275252316519468,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,1,incorrect_but_high_pedagogy,25,8.333333333333334,2.8867513459481287,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,1,incorrect_low_weight,23,7.666666666666667,1.5275252316519465,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,1,pred_parse_failure,5,1.6666666666666667,1.1547005383792517,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,2,correct_high_pedagogy,59,19.666666666666668,3.2145502536643185,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,2,silent_error_true,35,11.666666666666666,0.5773502691896257,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,2,incorrect_low_weight,33,11.0,0.0,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,2,incorrect_but_high_pedagogy,18,6.0,3.4641016151377544,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,2,pred_parse_failure,3,1.0,0.0,3,inference_recycling_only
qwen2.5:0.5b,soft_pvf_noisy_keep,soft_pvf_noisy_keep,2,correct_low_pedagogy,2,2.0,0.0,1,inference_recycling_only
